	action
(7, 18, RELEVANT)	ADOPT
(7, 18, ACTIVE)	WAIT
(7, 19, IRRELEVANT)	ADOPT
(7, 19, RELEVANT)	ADOPT
(7, 19, ACTIVE)	ADOPT
(8, 0, IRRELEVANT)	WAIT
(8, 0, RELEVANT)	WAIT
(8, 0, ACTIVE)	WAIT
(8, 1, IRRELEVANT)	WAIT
(8, 1, RELEVANT)	MATCH
(8, 1, ACTIVE)	WAIT
(8, 2, IRRELEVANT)	WAIT
(8, 2, RELEVANT)	MATCH
(8, 2, ACTIVE)	WAIT
(8, 3, IRRELEVANT)	WAIT
(8, 3, RELEVANT)	MATCH
(8, 3, ACTIVE)	WAIT
(8, 4, IRRELEVANT)	WAIT
(8, 4, RELEVANT)	MATCH
(8, 4, ACTIVE)	WAIT
(8, 5, IRRELEVANT)	WAIT
(8, 5, RELEVANT)	MATCH
(8, 5, ACTIVE)	WAIT
(8, 6, IRRELEVANT)	WAIT
(8, 6, RELEVANT)	MATCH
(8, 6, ACTIVE)	WAIT
(8, 7, IRRELEVANT)	OVERRIDE
(8, 7, RELEVANT)	OVERRIDE
(8, 7, ACTIVE)	OVERRIDE
(8, 8, IRRELEVANT)	WAIT
(8, 8, RELEVANT)	MATCH
(8, 8, ACTIVE)	WAIT
(8, 9, IRRELEVANT)	WAIT
(8, 9, RELEVANT)	WAIT
(8, 9, ACTIVE)	WAIT
(8, 10, IRRELEVANT)	ADOPT
(8, 10, RELEVANT)	ADOPT
(8, 10, ACTIVE)	WAIT
(8, 11, IRRELEVANT)	ADOPT
(8, 11, RELEVANT)	ADOPT
(8, 11, ACTIVE)	WAIT
(8, 12, IRRELEVANT)	ADOPT
(8, 12, RELEVANT)	ADOPT
(8, 12, ACTIVE)	WAIT
(8, 13, IRRELEVANT)	ADOPT
(8, 13, RELEVANT)	ADOPT
(8, 13, ACTIVE)	WAIT
(8, 14, IRRELEVANT)	ADOPT
(8, 14, RELEVANT)	ADOPT
(8, 14, ACTIVE)	WAIT
(8, 15, IRRELEVANT)	ADOPT
(8, 15, RELEVANT)	ADOPT
(8, 15, ACTIVE)	WAIT
(8, 16, IRRELEVANT)	ADOPT
(8, 16, RELEVANT)	ADOPT
(8, 16, ACTIVE)	WAIT
(8, 17, IRRELEVANT)	ADOPT
(8, 17, RELEVANT)	ADOPT
(8, 17, ACTIVE)	WAIT
(8, 18, IRRELEVANT)	ADOPT
(8, 18, RELEVANT)	ADOPT
(8, 18, ACTIVE)	WAIT
(8, 19, IRRELEVANT)	ADOPT
(8, 19, RELEVANT)	ADOPT
